id,score,year,ranking,class
201,72,9,1,History
202,69,11,1,Gym
203,90,11,2,Algebra
204,95,12,1,Geometry
205,76,10,2,English
206,71,10,3,English
207,88,10,1,English
208,65,10,1,Algebra
209,64,9,1,Geometry
210,38,10,2,Geometry
211,58,9,1,English
212,100,11,1,Algebra
213,65,10,1,Gym
214,78,11,1,History
215,50,9,2,History
216,69,10,3,History
217,88,9,4,Algebra
218,61,11,3,Algebra
219,70,12,1,Algebra
220,54,12,4,Algebra
221,66,12,1,History
222,65,12,1,English
223,100,10,1,History
224,69,11,1,Geometry
225,74,10,2,History
226,73,10,1,Geometry
227,69,12,3,Algebra
228,67,11,2,Geometry
229,70,12,2,Algebra
230,78,11,2,History
231,69,12,2,Geometry
232,63,9,1,Gym
